央视频道,#genre#
安徽卫视,http://222.71.11.180:4022/rtp/239.45.1.120:5140$1920x1080
安徽卫视,http://115.171.216.54:4000/rtp/225.1.8.135:8272$720x576
安徽卫视,http://1.202.9.192:8888/rtp/225.1.8.135:8272$720x576
东南卫视,http://116.232.156.147:8888/rtp/239.45.1.121:5140$1920x1080
东南卫视,http://101.83.74.79:8686/rtp/239.45.1.121:5140$1920x1080
东南卫视,http://116.234.13.241:9898/rtp/239.45.1.121:5140$1920x1080
东南卫视,http://58.37.91.48:4000/rtp/239.45.1.121:5140$1920x1080
东南卫视,http://58.37.82.140:56789/rtp/239.45.1.121:5140$1920x1080
东南卫视,http://tv.100inns.com:4022/rtp/239.45.1.121:5140$1920x1080
东南卫视,http://115.171.216.54:4000/rtp/225.1.8.149:8112$720x576
东南卫视,http://1.202.9.192:8888/rtp/225.1.8.149:8112$720x576
江西卫视,http://116.232.156.147:8888/rtp/239.45.1.122:5140$1920x1080
江西卫视,http://101.83.74.79:8686/rtp/239.45.1.122:5140$1920x1080
江西卫视,http://58.37.91.48:4000/rtp/239.45.1.122:5140$1920x1080
江西卫视,http://58.37.82.140:56789/rtp/239.45.1.122:5140$1920x1080
江西卫视,http://116.234.13.241:9898/rtp/239.45.1.122:5140$1920x1080
江西卫视,http://222.71.11.180:4022/rtp/239.45.1.122:5140$1920x1080
江西卫视,http://tv.100inns.com:4022/rtp/239.45.1.122:5140$1920x1080
江西卫视,http://115.171.216.54:4000/rtp/225.1.8.143:8280$720x576
江西卫视,http://1.202.9.192:8888/rtp/225.1.8.143:8280$720x576
辽宁卫视,http://58.37.82.140:56789/rtp/239.45.1.123:5140$1920x1080
辽宁卫视,http://116.232.156.147:8888/rtp/239.45.1.123:5140$1920x1080
辽宁卫视,http://58.37.91.48:4000/rtp/239.45.1.123:5140$1920x1080
辽宁卫视,http://116.234.13.241:9898/rtp/239.45.1.123:5140$1920x1080
辽宁卫视,http://101.83.74.79:8686/rtp/239.45.1.123:5140$1920x1080
辽宁卫视,http://115.171.216.54:4000/rtp/225.1.8.51:8056$1920x1080
辽宁卫视,http://1.202.9.192:8888/rtp/225.1.8.51:8056$1920x1080
辽宁卫视,http://tv.100inns.com:4022/rtp/239.45.1.123:5140$1920x1080
辽宁卫视,http://222.71.11.180:4022/rtp/239.45.1.123:5140$1920x1080
辽宁卫视,http://115.171.216.54:4000/rtp/225.1.8.137:8116$720x576
天津卫视,http://116.232.156.147:8888/rtp/239.45.1.124:5140$1920x1080
天津卫视,http://101.83.74.79:8686/rtp/239.45.1.124:5140$1920x1080
天津卫视,http://58.37.82.140:56789/rtp/239.45.1.124:5140$1920x1080
天津卫视,http://116.234.13.241:9898/rtp/239.45.1.124:5140$1920x1080
天津卫视,http://58.37.91.48:4000/rtp/239.45.1.124:5140$1920x1080
